546	CLOSED	Documentation of Register-based Architecture of ZIO Blocks	documentation	2025-12-30T07:39:26Z
541	OPEN	direct mapping functionality between case classes		2025-12-25T22:06:43Z
519	OPEN	Schema Migration System for ZIO Schema 2	💎 Bounty, $4k	2026-02-21T07:07:29Z
518	CLOSED	Add `Into[A, B]` and `As[A, B]` Type Classes with Macro Derivation	💎 Bounty, $2.5k, 💰 Rewarded	2026-01-21T16:06:02Z
517	CLOSED	Add structural schemas	💎 Bounty, $2k, 💰 Rewarded	2026-02-11T14:12:55Z
516	CLOSED	Finalize Patch & Diffing	💎 Bounty, $3k, 💰 Rewarded	2026-01-14T19:49:05Z
514	CLOSED	Add annotation macros for Scala 2.13 and Scala 3.5+	💎 Bounty, $2k, 💰 Rewarded	2026-01-10T11:41:39Z
513	CLOSED	Avro should be renamed to 'schema-avro'		2025-12-18T16:19:22Z
511	CLOSED	Derivation failure for a enum nested inside a def		2025-12-18T06:11:28Z
471	CLOSED	Replace TypeName by TypeId & Macro Derivation	💎 Bounty, $3k, 💰 Rewarded	2026-02-11T14:12:21Z
462	CLOSED	JSON Schema Support	💎 Bounty, $2k, 💰 Rewarded	2026-01-27T13:36:28Z
459	CLOSED	Add JSON codec configurations from zio-schema & zio-json		2025-12-28T09:22:39Z
458	CLOSED	Add JSON schema derivation		2026-01-23T19:05:06Z
451	CLOSED	Add Schema#transformOrFail		2026-01-24T03:14:38Z
447	CLOSED	Schema Derivation error `Cannot derive schema for 'zio.Chunk[Byte]'`		2025-11-17T05:27:01Z
445	CLOSED	Failed to derive a Schema for neotype Subtype inside an Option		2025-11-17T02:57:36Z
433	CLOSED	Issue with construct when using wrapper + opaque type		2025-11-12T08:03:49Z
413	CLOSED	Inconsistent TypeName for opaque type wrapped in Option		2025-10-29T09:38:39Z
407	CLOSED	Name for a union type		2025-10-27T07:36:13Z
381	CLOSED	Lazy val initialization issue with Deferred		2025-10-03T13:52:03Z
368	CLOSED	Unexpected case names when cases are defined in another object		2025-09-29T07:03:36Z
365	CLOSED	Error trying to make a Schema for Chunk		2025-09-25T23:49:44Z
337	CLOSED	Usability of modifiers		2025-09-11T03:13:25Z
323	CLOSED	Unexpected TypeName when using Neotype inside an Option		2025-11-18T00:19:15Z
316	CLOSED	How to silence warnings triggered by derivation		2025-09-03T08:00:23Z
298	CLOSED	Exception during derivation for nested class without a Schema		2025-08-27T11:16:55Z
285	CLOSED	Error deriving opaque type fields		2025-08-27T08:21:59Z
231	CLOSED	Add logical operators (&&, ||) to `SchemaExpr`		2025-12-14T14:36:49Z
218	CLOSED	Add new node & binding type: wrapper		2025-09-02T12:57:23Z
215	CLOSED	[Deriver] Override an instance wherever it is used		2025-07-18T10:35:13Z
214	CLOSED	Exception when deriving a recursive type		2025-08-26T14:58:42Z
213	CLOSED	Support Named Tuples for Scala 3		2025-07-28T18:04:31Z
212	CLOSED	Optic collection navigation using `at` and `atKey` should preserve navigation path information when traversing nested fields		2025-07-13T06:27:29Z
204	CLOSED	Schema transformations		2025-10-30T10:28:53Z
199	CLOSED	Make it easier to create generic schemas outside of derivation		2025-07-04T11:21:20Z
198	CLOSED	Feedback on Registers		2025-07-08T00:25:40Z
193	CLOSED	Add support for newtypes and subtypes		2025-08-29T11:19:19Z
192	CLOSED	Add support for value classes		2025-07-31T12:25:37Z
188	CLOSED	Order of Variant terms		2025-07-01T09:08:46Z
179	CLOSED	Type Registry & Associated Machinery for Schema Serialization		2026-02-01T14:58:17Z
178	CLOSED	Port Over Avro Codec to Work Out Kinks in ZIO Schema 2 Codec		2026-01-07T07:48:58Z
177	CLOSED	Add At Optics		2025-07-08T10:48:23Z
163	CLOSED	More flexible usage of annotations or modifiers		2025-09-11T03:14:59Z
145	CLOSED	Derivation can't handle optional fields		2025-06-11T16:12:27Z
141	CLOSED	Record fields stored in a List and accessed by index		2025-06-09T09:34:03Z
111	CLOSED	I would like access to the underlying field name of a `Lens` somehow		2025-05-25T08:09:40Z
101	CLOSED	More replace/insert/remove methods for `Patch` wanted		2026-02-01T18:42:44Z
99	CLOSED	Ability to derive schema for recursive data structure without using of `@Modifier.deferred`		2025-06-05T12:42:56Z
98	CLOSED	Replace `field` and `caseOf` macros by single `optic`		2025-05-29T15:56:33Z
94	CLOSED	As a library developer, how do I integrate with Optics?		2025-05-23T17:08:19Z
89	CLOSED	Missing support of `derives` keyword when deriving schemas for Scala 3 enumeration cases		2025-06-18T19:55:50Z
86	CLOSED	Broken support of arrays by the `SecConstructor` instance for arrays		2025-07-03T23:46:49Z
79	CLOSED	`toDynamicValue` on a case class containing a simple enum results in a class cast exception		2025-05-17T06:35:37Z
72	CLOSED	Comparing unrelated types: A and _ in Lazy.scala		2025-05-17T06:59:07Z
51	OPEN	Support multiple mime types in one `Format`		2025-07-03T14:13:51Z
