1064	Add Copilot Code Review Instructions for Documentation Checks	khajavi:copilot-review-instructions	MERGED	2026-02-14T12:56:54Z
1063	More efficient implementations of json and dynamic value patches	plokhotnyuk:main	MERGED	2026-02-13T18:45:30Z
1062	Introduce Finalization data type for scope finalizer error handling	scope-finalization-improvements	MERGED	2026-02-13T15:17:00Z
1061	Add Agent Skill for Reporting Undocumented Sections	khajavi:undocumented-sections	MERGED	2026-02-13T15:11:34Z
1060	More efficient `Chunk` and `NonEmptyChunk` implementations	plokhotnyuk:main	MERGED	2026-02-13T08:14:46Z
1059	fix(build): add mediatype module to test and doc command aliases	fix/add-mediatype-to-build-alias	MERGED	2026-02-13T06:21:17Z
1058	Algebraic schema migration system (#519)	AtlasPA:Algebraic-schema-migration-full	OPEN	2026-02-12T20:46:55Z
1057	More efficient implementation of the schema package	plokhotnyuk:main	MERGED	2026-02-12T17:10:05Z
1056	feat(schema): replace custom Doc type with Markdown Doc (closes #1030)	replace-schema-doc-1030	MERGED	2026-02-12T15:46:22Z
1055	Documentation of Codecs	khajavi:codecs-docs	MERGED	2026-02-12T12:56:11Z
1054	Yet more efficient implementations in the json package	plokhotnyuk:main	MERGED	2026-02-12T12:21:03Z
1053	feat(scope): Scope-local opaque types, leak macro, closed-scope defense	scope-improvement	MERGED	2026-02-11T22:28:29Z
1052	More efficient implementations in the json package	plokhotnyuk:main	MERGED	2026-02-11T18:39:37Z
1051	More efficient implementation of `toJsonString` syntax	plokhotnyuk:main	MERGED	2026-02-11T16:07:02Z
1050	Replace `::` by `NonEmptyChunk` in JSON schema	plokhotnyuk:main	MERGED	2026-02-11T14:54:18Z
1049	Misc fixes related to JSON schemas and syntax	plokhotnyuk:main	MERGED	2026-02-11T12:47:37Z
1048	Scope library improvements: remove ScopeEscape, improve test quality	scope-improvements	MERGED	2026-02-11T01:52:26Z
1047	Update scalafmt-core to 3.10.7	update/scalafmt-core-3.10.7	CLOSED	2026-02-11T01:11:30Z
1046	feat: zero-allocation opaque-type encoding for Scoped values	fix/readme-scope-performance	MERGED	2026-02-10T23:20:41Z
1045	feat: infix syntax for $ method	feat/infix-dollar-syntax	MERGED	2026-02-10T22:46:16Z
1044	fix: Scope leak prevention - Phase 2	fix/scope-leaks-phase2	MERGED	2026-02-10T22:05:56Z
1043	More efficient Chunk equality	plokhotnyuk:main	MERGED	2026-02-10T17:23:18Z
1042	fix(scope): prevent scope leaks with ScopeLift typeclass	fix/scope-leaks	MERGED	2026-02-10T16:29:03Z
1041	Fix error traces during JSON schema validation	plokhotnyuk:main	MERGED	2026-02-10T15:58:16Z
1040	Documentation of DynamicOptic	khajavi:dynamic-optic-docs	MERGED	2026-02-10T15:36:03Z
1039	Fix: Address Copilot review comments from scope PR	scope-review-fixes	MERGED	2026-02-10T14:42:44Z
1038	Unify Scoped and @@ types with flipped parameter order	scope-improvements-2	MERGED	2026-02-10T14:17:34Z
1037	Fixes JSON schema validation logic	plokhotnyuk:main	MERGED	2026-02-10T13:51:45Z
1036	More efficient building and validation of JSON schemas	plokhotnyuk:main	MERGED	2026-02-10T11:10:51Z
1035	Search Optic for type/schema matching	Nanashi-lab:search-optic	OPEN	2026-02-10T10:42:00Z
1034	Add Permissions for id-token and contents in CI Configuration‌ (OpenID Connect)	khajavi:proper-permissions	MERGED	2026-02-10T09:34:40Z
1033	Documentation of Modifiers	khajavi:modifier-docs	MERGED	2026-02-10T06:51:49Z
1032	fix(schema): add Derivable type class for unified schema.derive method	fix/schema-derive-1023-v2	OPEN	2026-02-10T06:46:43Z
1031	Fix TypeId hashCode/equals for opaque type aliases in containers	fix/typeid-opaque-alias-consistency-1018	CLOSED	2026-02-10T06:39:58Z
1029	fix: enable explicit type annotations with schema.derive(Format) (#1023)	fix/schema-derive-type-inference-1023	CLOSED	2026-02-09T20:20:06Z
1028	Scope module improvements: simplified API, macro overhaul, examples	scope-improvements	MERGED	2026-02-09T20:19:56Z
1027	More efficient `toJsonSchema` implementations	plokhotnyuk:main	MERGED	2026-02-09T18:12:57Z
1026	More efficient `DynamicOptic`, `DynamicSchema`, and `DynamicValue` implementations, use `Chunk` instead of `Vector`	plokhotnyuk:main	MERGED	2026-02-09T15:36:28Z
1022	Fix TypeId hashCode/equals inconsistency for opaque type aliases	fix/typeid-opaque-alias-consistency-1018	MERGED	2026-02-09T11:39:06Z
1021	Bump coursier/cache-action from 7 to 8	dependabot/github_actions/coursier/cache-action-8	MERGED	2026-02-09T11:17:25Z
